                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.63415,                  1.314,                0.96764,                0.62136,                0.75814,                0.73429,                0.63782,                0.54248,                0.81118,                0.91959,               0.070005,              0.0033328,              0.0033328
                      1,                0.62706,                 1.0398,                0.96098,                0.65573,                0.76982,                0.76277,                0.66473,                0.53401,                0.75823,                0.91601,               0.039873,              0.0065342,              0.0065342
                      2,                0.62714,                 1.0229,                0.96359,                0.65309,                0.76319,                0.75929,                0.66077,                0.54076,                0.77726,                0.92022,              0.0096087,              0.0096035,              0.0096035
                      3,                0.61598,                0.99041,                0.96183,                0.61434,                0.66622,                0.67845,                 0.5838,                0.59753,                 1.2043,                0.97552,               0.009406,               0.009406,               0.009406
                      4,                0.60495,                0.95814,                0.95771,                0.62871,                0.71586,                0.71583,                 0.6175,                0.57861,                 1.0411,                 0.9571,               0.009406,               0.009406,               0.009406
                      5,                0.60124,                0.94184,                0.95718,                0.66196,                0.75809,                0.76046,                0.65953,                0.55144,                0.82672,                0.92845,               0.009208,               0.009208,               0.009208
                      6,                 0.5996,                0.93114,                 0.9563,                0.68389,                0.77084,                0.78088,                0.68012,                0.53758,                0.74827,                0.91675,                0.00901,                0.00901,                0.00901
                      7,                 0.5976,                0.92509,                0.95763,                0.69559,                0.77705,                0.79193,                0.69105,                0.53148,                0.71313,                0.91275,               0.008812,               0.008812,               0.008812
                      8,                0.59609,                0.91716,                0.95698,                0.70406,                0.78153,                0.79986,                0.69896,                0.52876,                 0.6922,                0.91122,               0.008614,               0.008614,               0.008614
                      9,                0.59538,                0.91258,                0.95669,                0.70908,                0.78686,                0.80589,                 0.7046,                0.52734,                0.67924,                0.91041,               0.008416,               0.008416,               0.008416
                     10,                0.59476,                 0.9079,                 0.9558,                 0.7173,                0.78782,                 0.8113,                0.70966,                  0.527,                0.66977,                0.91029,               0.008218,               0.008218,               0.008218
                     11,                0.59369,                0.90104,                0.95425,                0.72138,                0.79121,                0.81589,                0.71383,                0.52664,                0.66252,                0.91015,                0.00802,                0.00802,                0.00802
                     12,                0.59268,                0.89638,                0.95495,                0.72717,                0.79224,                 0.8201,                0.71776,                0.52618,                  0.655,                0.90992,               0.007822,               0.007822,               0.007822
                     13,                0.59205,                0.89059,                0.95448,                0.73574,                0.79015,                0.82446,                0.72149,                0.52584,                0.64841,                0.90973,               0.007624,               0.007624,               0.007624
                     14,                0.59145,                0.88626,                0.95551,                0.73924,                0.79423,                0.82894,                0.72547,                0.52509,                0.64132,                0.90947,               0.007426,               0.007426,               0.007426
                     15,                 0.5904,                 0.8816,                0.95588,                0.74382,                 0.7956,                0.83263,                0.72847,                0.52507,                0.63408,                0.90944,               0.007228,               0.007228,               0.007228
                     16,                0.58994,                 0.8787,                0.95602,                0.74734,                0.79696,                0.83625,                0.73199,                0.52461,                0.62791,                0.90918,                0.00703,                0.00703,                0.00703
                     17,                0.58878,                0.87194,                0.95598,                0.75258,                0.79962,                0.83979,                0.73558,                0.52409,                0.62185,                0.90884,               0.006832,               0.006832,               0.006832
