                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,0.65479,1.5143,1.0162,0.57213,0.7343,0.69065,0.59621,0.55853,0.96088,0.96132,0.070017,0.0033314,0.0033314
1,0.62915,1.0678,0.98559,0.64292,0.74786,0.73283,0.63406,0.54978,0.84245,0.95721,0.039885,0.0065328,0.0065328
2,0.63476,1.0352,0.98971,0.64636,0.7496,0.74034,0.6408,0.54759,0.83037,0.95697,0.0096215,0.0096021,0.0096021
3,0.62603,1.0115,0.98848,0.64746,0.7573,0.7613,0.6619,0.54011,0.78034,0.94946,0.009406,0.009406,0.009406
4,0.61483,0.97958,0.98427,0.67117,0.76924,0.77456,0.67526,0.53427,0.74136,0.94737,0.009406,0.009406,0.009406
5,0.61009,0.96246,0.9826,0.68484,0.77388,0.78527,0.68558,0.53109,0.71905,0.94464,0.009208,0.009208,0.009208
6,0.60703,0.95146,0.98103,0.69399,0.77374,0.79053,0.69055,0.53017,0.71235,0.94379,0.00901,0.00901,0.00901
7,0.60504,0.94368,0.98153,0.69541,0.77816,0.79516,0.69502,0.5289,0.70314,0.94282,0.008812,0.008812,0.008812
8,0.60333,0.93592,0.98004,0.70102,0.7795,0.79864,0.69771,0.52886,0.69735,0.94259,0.008614,0.008614,0.008614
9,0.60179,0.93075,0.98077,0.70364,0.7803,0.80149,0.70036,0.52874,0.69183,0.94232,0.008416,0.008416,0.008416
10,0.60125,0.9266,0.98041,0.70512,0.78209,0.80357,0.70211,0.52853,0.6886,0.94213,0.008218,0.008218,0.008218
11,0.59991,0.92002,0.98065,0.70772,0.78384,0.80519,0.70359,0.52872,0.68537,0.94213,0.00802,0.00802,0.00802
12,0.5993,0.91749,0.98148,0.71009,0.78254,0.80652,0.70466,0.52912,0.68399,0.94229,0.007822,0.007822,0.007822
13,0.59852,0.91068,0.981,0.71143,0.78382,0.80786,0.70581,0.5293,0.68278,0.94237,0.007624,0.007624,0.007624
14,0.59729,0.90555,0.98089,0.71407,0.78241,0.80914,0.707,0.52908,0.68158,0.9423,0.007426,0.007426,0.007426
15,0.59598,0.89994,0.9805,0.71551,0.78305,0.81039,0.70814,0.52926,0.68018,0.94233,0.007228,0.007228,0.007228
16,0.59567,0.89638,0.98014,0.71808,0.78307,0.81188,0.70915,0.52991,0.67852,0.94255,0.00703,0.00703,0.00703
17,0.59453,0.89198,0.97898,0.7207,0.7836,0.81379,0.71072,0.53036,0.67591,0.94263,0.006832,0.006832,0.006832
18,0.594,0.88761,0.97994,0.72032,0.78686,0.81552,0.71209,0.53061,0.67383,0.94277,0.006634,0.006634,0.006634
19,0.59376,0.88371,0.97951,0.72423,0.78502,0.81756,0.71381,0.53042,0.67139,0.94274,0.006436,0.006436,0.006436
20,0.59204,0.87919,0.97898,0.72608,0.78636,0.81976,0.71574,0.53043,0.66871,0.94273,0.006238,0.006238,0.006238
21,0.59176,0.87345,0.97804,0.72933,0.78632,0.82202,0.71777,0.53056,0.66616,0.94284,0.00604,0.00604,0.00604
22,0.59017,0.86958,0.97873,0.73258,0.7877,0.82446,0.71985,0.53073,0.66307,0.94293,0.005842,0.005842,0.005842
23,0.58967,0.86441,0.97823,0.73721,0.78846,0.82692,0.72207,0.53041,0.65918,0.94293,0.005644,0.005644,0.005644
24,0.58884,0.85816,0.97689,0.73958,0.78987,0.8298,0.72471,0.52998,0.65513,0.94286,0.005446,0.005446,0.005446
25,0.58865,0.8544,0.97852,0.74269,0.79154,0.83285,0.72746,0.52937,0.65069,0.94274,0.005248,0.005248,0.005248
26,0.58676,0.84741,0.97657,0.74627,0.79366,0.83609,0.73042,0.52896,0.6452,0.94256,0.00505,0.00505,0.00505
27,0.58684,0.84536,0.97676,0.75206,0.79397,0.83906,0.73306,0.52861,0.64061,0.94238,0.004852,0.004852,0.004852
28,0.58501,0.83868,0.97666,0.75389,0.79682,0.84235,0.73599,0.52834,0.63554,0.94228,0.004654,0.004654,0.004654
29,0.58505,0.83417,0.97791,0.75861,0.79766,0.84548,0.73877,0.52802,0.63033,0.94222,0.004456,0.004456,0.004456
30,0.5838,0.82879,0.97773,0.76299,0.799,0.84891,0.7419,0.52778,0.62502,0.94227,0.004258,0.004258,0.004258
31,0.58236,0.8234,0.97618,0.76646,0.8022,0.85225,0.7449,0.52762,0.61944,0.94222,0.00406,0.00406,0.00406
32,0.58135,0.81871,0.97521,0.77151,0.80231,0.85532,0.74795,0.52732,0.61436,0.94204,0.003862,0.003862,0.003862
33,0.58059,0.81181,0.9746,0.7766,0.8043,0.85855,0.75102,0.52711,0.60866,0.942,0.003664,0.003664,0.003664
34,0.57978,0.80617,0.97411,0.77997,0.80582,0.86152,0.75385,0.52705,0.60303,0.94189,0.003466,0.003466,0.003466
35,0.57866,0.79868,0.97308,0.78529,0.80628,0.8644,0.75636,0.52678,0.59755,0.94166,0.003268,0.003268,0.003268
36,0.5775,0.79252,0.97232,0.78977,0.80865,0.86733,0.75907,0.52657,0.59202,0.94158,0.00307,0.00307,0.00307
37,0.57568,0.78561,0.97196,0.79373,0.80893,0.87017,0.76163,0.52645,0.58698,0.94157,0.002872,0.002872,0.002872
38,0.57467,0.77923,0.97069,0.7972,0.81094,0.87283,0.76396,0.52627,0.58218,0.94156,0.002674,0.002674,0.002674
39,0.57418,0.7735,0.97147,0.80167,0.81174,0.87554,0.76637,0.52622,0.57747,0.9415,0.002476,0.002476,0.002476
40,0.53989,0.64114,0.958,0.80397,0.81445,0.87783,0.76855,0.52588,0.5726,0.9411,0.002278,0.002278,0.002278
41,0.53751,0.62946,0.95648,0.80871,0.81511,0.88031,0.77102,0.52545,0.56711,0.94067,0.00208,0.00208,0.00208
42,0.53524,0.61449,0.956,0.81284,0.81656,0.8828,0.77326,0.52506,0.56168,0.94031,0.001882,0.001882,0.001882
43,0.53351,0.60223,0.95807,0.81611,0.81951,0.88537,0.77578,0.52421,0.556,0.93997,0.001684,0.001684,0.001684
