                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,0.61329,1.0934,1.1071,0.67712,0.77417,0.77663,0.67649,0.53466,0.73076,1.1134,0.070005,0.0033328,0.0033328
1,0.6077,0.93567,1.0925,0.70365,0.79014,0.80248,0.70103,0.52931,0.68194,1.1061,0.039873,0.0065342,0.0065342
2,0.60743,0.93628,1.0919,0.7029,0.78427,0.80044,0.69835,0.53275,0.72094,1.11,0.0096087,0.0096035,0.0096035
3,0.59775,0.90514,1.0859,0.69851,0.73928,0.7759,0.67285,0.55508,0.92816,1.1515,0.009406,0.009406,0.009406
4,0.58817,0.86508,1.0787,0.71264,0.76392,0.79813,0.69335,0.54783,0.80745,1.1352,0.009406,0.009406,0.009406
5,0.58416,0.8415,1.076,0.73917,0.78826,0.82456,0.71924,0.53408,0.68645,1.111,0.009208,0.009208,0.009208
6,0.58193,0.82236,1.0744,0.76145,0.80156,0.8443,0.73784,0.5285,0.62497,1.1018,0.00901,0.00901,0.00901
7,0.58042,0.80845,1.0733,0.77964,0.81306,0.85935,0.75262,0.52544,0.58711,1.0976,0.008812,0.008812,0.008812
8,0.57901,0.7928,1.0717,0.79904,0.81814,0.87184,0.76433,0.52334,0.56003,1.0957,0.008614,0.008614,0.008614
9,0.57808,0.78128,1.0719,0.80988,0.82717,0.88218,0.77397,0.52284,0.53815,1.0953,0.008416,0.008416,0.008416
10,0.57736,0.77185,1.0706,0.82102,0.83484,0.89053,0.78162,0.52213,0.51996,1.0945,0.008218,0.008218,0.008218
11,0.57595,0.76126,1.0698,0.83326,0.84022,0.89857,0.78936,0.52078,0.50389,1.0935,0.00802,0.00802,0.00802
12,0.57482,0.75276,1.0693,0.83862,0.84698,0.90484,0.79557,0.51918,0.49117,1.0921,0.007822,0.007822,0.007822
